CPU,DISK,MEMORY,STATUS SERVER
LOW,LOW,LOW,LOW
LOW,LOW,MEDIUM,LOW
LOW,LOW,HIGH,LOW
LOW,MEDIUM,LOW,LOW
LOW,MEDIUM,MEDIUM,LOW
LOW,MEDIUM ,HIGH,MEDIUM
LOW ,HIGH,LOW,LOW
LOW,HIGH,MEDIUM,MEDIUM
LOW ,HIGH,HIGH,HIGH
MEDIUM,LOW,LOW,LOW
MEDIUM,LOW,MEDIUM,LOW
MEDIUM,MEDIUM,LOW,LOW
MEDIUM,LOW,HIGH,MEDIUM
MEDIUM,MEDIUM,MEDIUM,MEDIUM
MEDIUM,MEDIUM,HIGH,HIGH
MEDIUM,HIGH,LOW,MEDIUM
MEDIUM,HIGH,MEDIUM,HIGH
MEDIUM,HIGH,HIGH,HIGH
HIGH,LOW,LOW,LOW
HIGH,LOW,MEDIUM,MEDIUM
HIGH,LOW,HIGH,HIGH
HIGH,MEDIUM,LOW,MEDIUM
HIGH,MEDIUM,MEDIUM,HIGH
HIGH,MEDIUM,HIGH,HIGH
HIGH,HIGH,LOW,HIGH
HIGH,HIGH,MEDIUM,HIGH
HIGH,HIGH,HIGH,HIGH
,,,
